"Metabolite","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Neighbor_Genes","Padj"
"hyaluronate",4,-0.258,1.566,-1.1,0.8643,"HAS3; HAS2; KL; GUSB",0.9929
"1-acylglycerol-3P-8,11,14,17-eico",4,-0.222,1.586,-1.101,0.8645,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-9-heptade",4,-0.222,1.586,-1.103,0.8651,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"NO",3,0.252,1.166,-1.104,0.8652,"NOS3; NOS1; NOS2",0.9929
"1-acylglycerol-3P-dihomo-gamma",4,-0.222,1.586,-1.105,0.8655,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-6,9,12,15,18-tetraco",4,-0.222,1.586,-1.107,0.8659,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-gamma-lin",4,-0.222,1.586,-1.107,0.8658,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"delta-12-prostaglandin J2",17,0.065,4.35,-1.107,0.8658,"PTGES; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2",0.9929
"9-deoxy-delta12-PGD2",17,0.065,4.35,-1.109,0.8662,"PTGES; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2",0.9929
"3,6,9,12-Octadecatetraenoyl Coenzyme A",8,0.094,2.672,-1.111,0.8666,"ECI1; EHHADH; ECI2; HADHA; ACADVL; HADHB; ACAA1; HSD17B4",0.9929
"1-acylglycerol-3P-myrist",4,-0.222,1.586,-1.113,0.8672,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-heneico",4,-0.222,1.586,-1.116,0.8677,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-tridec",4,-0.222,1.586,-1.118,0.8683,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"8(R)-hydroxy-hexadeca-(4E,6E,10Z)-trienoate",5,-0.014,1.914,-1.118,0.8682,"ACAA2; HADHA; HADHB; ACOX3; ACOX1",0.9929
"chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan",3,0.084,1.179,-1.119,0.8684,"CHST15; CHST7; CHST3",0.9929
"keratan sulfate II biosynthesis, precursor 9",7,0.158,2.382,-1.119,0.8685,"CHST5; CHST4; CHST2; B4GALT3; B4GALT2; B4GALT1; B4GALT5",0.9929
"(2E)-nonadecenoyl-CoA",12,0.082,3.441,-1.122,0.8692,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ACADL",0.9929
"1-acylglycerol-3P-hexecose",4,-0.222,1.586,-1.122,0.869,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"3,3-diiodo-L-thyronine",31,0.191,6.287,-1.125,0.8698,"STS; DIO1; DIO2; UGT3A1; UGT2B4; UGT1A6; UGT2B7; UGT1A4",0.9929
"6(S)-hydroxy-tetradeca-(2E,4E,8Z)-trienoate",3,0.011,1.182,-1.127,0.8702,"DECR1; ACOX3; ACOX1",0.9929
"S-(PGA1)-glutathione",17,0.065,4.35,-1.127,0.87,"PTGES; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2",0.9929
"1-acylglycerol-3P-laur",4,-0.222,1.586,-1.128,0.8704,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"6(R)-hydroxy-tetradeca-(2E,4E,8Z)-trienoate",3,0.011,1.182,-1.128,0.8704,"ACOX3; ACOX1; DECR1",0.9929
"1-acylglycerol-3P-7-tetrade",4,-0.222,1.586,-1.129,0.8706,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"3,7,10,13,16-Docosapentenoyl Coenzyme A",5,0.135,1.886,-1.131,0.8709,"ECI1; EHHADH; ECI2; DECR1; DECR2",0.9929
"3,7-Decadienoyl Coenzyme A",5,0.135,1.886,-1.132,0.8711,"ECI1; EHHADH; ECI2; DECR1; DECR2",0.9929
"1-acylglycerol-3P-heptade",4,-0.222,1.586,-1.133,0.8714,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-7,10,13,16,19-docosa",4,-0.222,1.586,-1.135,0.8719,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"8(R)-hydroxy-hexadeca-(2E,4E,6E,10Z)-tetraenoate",3,0.011,1.182,-1.138,0.8725,"ACOX3; ACOX1; DECR1",0.9929
"1-acylglycerol-3P-7-hexade",4,-0.222,1.586,-1.142,0.8732,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"hexadecanol",3,0.076,1.183,-1.143,0.8736,"FAR2; FAR1; GNPAT",0.9929
"1-acylglycerol-3P-pentade",4,-0.222,1.586,-1.144,0.8737,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-4,7,10,13,16-docosa",4,-0.222,1.586,-1.145,0.8739,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"2,7,10,13-Hexadecatetraenoyl Coenzyme A",7,0.083,2.309,-1.145,0.8739,"HADHA; HADHB; EHHADH; ACAA1; HSD17B4; ECI1; ECI2",0.9929
"PAPS",42,0.084,7.485,-1.145,0.8739,"GAL3ST1; SULT2A1; SULT1A3; SULT2B1; SULT1E1; SULT1A1; PAPSS2; PAPSS1",0.9929
"ribose-5-phosphate",10,0.066,3.009,-1.148,0.8746,"NUDT9; PRPS1; PRPS2; RBKS; RPIA; PGM2; TKT; ADPRM",0.9929
"chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 5b",3,0.084,1.179,-1.149,0.8747,"CHST15; CHST7; CHST3",0.9929
"noradrenochrome",17,0.06,4.276,-1.149,0.8747,"GSTK1; CRYZ; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTM2",0.9929
"succinate",27,0.043,5.708,-1.151,0.8751,"P4HA1; P4HB; P4HA2; SLC25A1; PHYH; OXCT1; SUCLG2; SUCLG1",0.9929
"6-hydroxymelatonin-sulfate",10,0.136,3.053,-1.156,0.8761,"NDST1; SULT1C2; SULT1A3; CHST9; HS2ST1; CHST10; GAL3ST4; SULT1B1",0.9929
"3-hydroxypentanoyl-CoA",4,0.105,1.404,-1.164,0.8777,"ECHS1; HSD17B10; HADHA; HADH",0.9929
"1-acylglycerol-3P-7,10,13,16-docosa",4,-0.222,1.586,-1.167,0.8783,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"(2E)-heneicosenoyl-CoA",12,0.082,3.441,-1.171,0.8792,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ACADL",0.9929
"adrenochrome",17,0.06,4.276,-1.171,0.8792,"GSTK1; CRYZ; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTM2",0.9929
"11-cis-retinyl-palmitate",3,0.16,1.127,-1.174,0.8798,"DGAT2; LRAT; DGAT1",0.9929
"8(S)-hydroxy-hexadeca-(2E,4E,6E,10Z)-tetraenoate",3,0.011,1.182,-1.174,0.8799,"ACOX3; ACOX1; DECR1",0.9929
"3-hydroxyheneicosanoyl-CoA",9,0.171,2.78,-1.176,0.8802,"HSD17B12; HACD1; HACD3; HIGD2A; HACD2; HACD4; HADHA; HSD17B10",0.9929
"17alpha,21-dihydroxypregnenolone",3,0.233,1.103,-1.177,0.8804,"CYP21A2; HSD3B1; HSD3B2",0.9929
"keratan sulfate I biosynthesis, precursor 36",7,0.177,2.291,-1.178,0.8806,"B4GALT3; B4GALT2; B4GALT1; B4GALT5; CHST7; CHST3; CHST1",0.9929
"3(S)-3-Hydroxydodecen-(5Z)-Oyl Coenzyme A",6,0.103,2.087,-1.181,0.8813,"HSD17B10; HADHA; EHHADH; HSD17B4; ECHS1; HADHB",0.9929
"3-hydroxyoctadecanoyl-CoA",16,0.151,4.07,-1.185,0.8819,"HSD17B12; HACD1; HACD3; HIGD2A; HACD2; HACD4; ELOVL1; HIRIP3",0.9929
"dehydroepiandrosterone",5,-0.117,1.787,-1.192,0.8833,"STS; CYP17A1; HSD3B1; HSD3B2; SULT1E1",0.9929
"N-(omega)-hydroxyarginine",3,0.252,1.166,-1.194,0.8837,"NOS3; NOS1; NOS2",0.9929
"3-methoxy-acetaminophen",3,0.264,1.062,-1.196,0.8842,"UGT1A6; UGT1A9; UGT1A1",0.9929
"chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 5",4,0.111,1.478,-1.204,0.8857,"CHST15; CHST7; CHST3; UST",0.9929
"2,7,10,13,16-Docosapentenoyl Coenzyme A",7,0.083,2.309,-1.205,0.8859,"HADHA; HADHB; EHHADH; ACAA1; HSD17B4; ECI1; ECI2",0.9929
"thiamin-PPP",3,0.014,1.151,-1.205,0.8859,"SLC19A1; TPK1; THTPA",0.9929
"21-hydroxypregnenolone",3,0.233,1.103,-1.206,0.8861,"CYP21A2; HSD3B1; HSD3B2",0.9929
"3-hydroxynonadecanoyl-CoA",9,0.171,2.78,-1.208,0.8865,"HSD17B12; HACD1; HACD3; HIGD2A; HACD2; HACD4; HADHA; HSD17B10",0.9929
"(2E)-hexadecenoyl-CoA",27,0.101,5.62,-1.21,0.8869,"CPT1C; CPT1A; CPT1B; CPT2; ACADS; ACADM; MECR; SOAT2",0.9929
"keratan sulfate II biosynthesis, precursor 10",7,0.177,2.291,-1.21,0.8869,"B4GALT3; B4GALT2; B4GALT1; B4GALT5; CHST7; CHST3; CHST1",0.9929
"fluvastatin",9,-0.161,2.713,-1.211,0.8871,"CYP2C9; CYP3A4; CYP2C8; CYP2D6; EHHADH; ACOX1; ACAA1; HSD17B4",0.9929
"2,6,9,12-Octadecatetraenoyl Coenzyme A",7,0.083,2.309,-1.213,0.8875,"HADHA; HADHB; EHHADH; ACAA1; HSD17B4; ECI1; ECI2",0.9929
"3-Hydroxy Trans7,10-Hexadecadienoyl Coenzyme A",6,0.061,1.988,-1.215,0.8878,"DBI; CPT1C; CPT1A; CPT1B; HADHA; ACADVL",0.9929
"5alpha-cholesta-7,24-dien-3beta-ol",3,0.184,1.098,-1.215,0.8879,"EBP; SC5D; DHCR24",0.9929
"lc4Cer",11,-0.1,3.209,-1.215,0.8877,"B3GALT5; B3GALT2; B3GALT1; ST3GAL4; ST3GAL3; FUT3; FUT6; FUT5",0.9929
"glucuronide-conjugate of 3-methoxy-acetaminophen",3,0.264,1.062,-1.218,0.8883,"UGT1A6; UGT1A9; UGT1A1",0.9929
"4-androstene-3,17-dione",17,-0.005,4.22,-1.219,0.8885,"HSD3B1; HSD3B2; HSD17B7; HSD17B2; HSD17B8; AKR1C3; HSD17B11; HSD17B1",0.9929
"12-oxo-c-LTB3",20,0.059,4.731,-1.223,0.8893,"GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2; GSTO2",0.9929
"keratan sulfate II (core 4-linked), biosynthesis, precursor 10",7,0.177,2.291,-1.231,0.8909,"B4GALT3; B4GALT2; B4GALT1; B4GALT5; CHST7; CHST3; CHST1",0.9929
"trans,cis-lauro-2,6-dienoyl-CoA",9,0.023,2.771,-1.238,0.8921,"ECI2; ECI1; ECH1; HADHA; ECHS1; EHHADH; ACOX1; ACOX3",0.9929
"mercaptopyruvate",8,-0.059,2.566,-1.24,0.8924,"GOT1; GOT2; MPST; TST; LDHB; LDHC; LDHAL6A; LDHAL6B",0.9929
"keratan sulfate I biosynthesis, precursor 34",8,0.271,2.432,-1.241,0.8927,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA",8,0.01,2.489,-1.242,0.8929,"ACADL; ACADM; ACADVL; ACAD9; DECR1; ACOX3; ACOX1; DECR2",0.9929
"(R)-4-phosphopantothenoyl-cysteine",5,0.022,1.766,-1.242,0.8929,"PPCS; PPCDC; PANK1; PANK3; PANK2",0.9929
"mitoACP",3,0.065,1.056,-1.242,0.8928,"LIPT2; NDUFAB1; GCSH",0.9929
"18-COOH-(15E)-dinor-LTE4-CoA",5,0.116,1.676,-1.244,0.8933,"DECR2; EHHADH; ECI1; ECI2; HADHA",0.9929
"chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan",4,0.151,1.413,-1.245,0.8934,"CHST13; CHST11; CHST12; CHST14",0.9929
"3(R)-hydroxy-(2S,6R,10)-trimethyl-hendecanoyl-CoA",6,0.055,1.925,-1.255,0.8953,"EHHADH; ECI1; ECI2; HADHA; ACAA1; HSD17B4",0.9929
"chondroitin sulfate B (IdoA2S-GalNAc4S), precursor 4",4,0.151,1.413,-1.256,0.8955,"CHST13; CHST11; CHST12; CHST14",0.9929
"6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol",3,-0.085,1.051,-1.257,0.8957,"PIGL; PIGW; GPLD1",0.9929
"3(S)-hydroxy-2(S),6-dimethyl-heptanoyl-CoA",4,0.105,1.404,-1.258,0.8957,"HADHA; ECHS1; HSD17B10; HADH",0.9929
"core 4",6,0.105,2.05,-1.258,0.8959,"B3GNT6; GCNT3; B4GALT3; B4GALT2; B4GALT1; B4GALT5",0.9929
"L-dopachrome",18,0.038,4.312,-1.259,0.896,"GSTK1; CRYZ; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTM2",0.9929
"1-lysolecithin pool",5,0.109,1.753,-1.263,0.8968,"DGAT2; RBP2; RBP1; DGAT1; LRAT",0.9929
"3,5-diiodo-L-thyronine-4-O-sulfate",3,0.051,1.051,-1.263,0.8967,"STS; SULT1C2; SULT1B1",0.9929
"keratan sulfate II biosynthesis, precursor 5",8,0.271,2.432,-1.265,0.8971,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"2-trans-4-cis-decadienoyl-CoA",8,0.01,2.489,-1.27,0.898,"ACOX3; ACOX1; ACADL; ACADM; ACADVL; ACAD9; DECR1; DECR2",0.9929
"(2S)-pristanoyl-CoA",4,0.005,1.423,-1.272,0.8983,"SLC27A2; AMACR; ACOX3; ACOX1",0.9929
"3(S)-hydroxy-4-methyl-pentanoyl-CoA",4,0.105,1.404,-1.273,0.8985,"ECHS1; HSD17B10; HADHA; HADH",0.9929
"3-Hydroxy Tetradecenoyl-7 Coenzyme A",6,0.061,1.988,-1.273,0.8985,"DBI; CPT1C; CPT1A; CPT1B; HADHA; ACADVL",0.9929
"3-Hydroxyoctadecenoyl Coenzyme A",6,0.061,1.988,-1.273,0.8985,"CPT1C; CPT1A; CPT1B; HADHA; ACADVL; DBI",0.9929
"3-hydroxyundecanoyl-CoA",4,0.105,1.404,-1.273,0.8985,"HADHA; ECHS1; HSD17B10; HADH",0.9929
"cholesterol-sulfate",3,-0.046,1.06,-1.274,0.8986,"SULT1A3; SULT2B1; STS",0.9929
"keratan sulfate I biosynthesis, precursor 31",8,0.271,2.432,-1.274,0.8987,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"(S)-3-Hydroxyoctadecanoyl Coenzyme A",6,0.061,1.988,-1.277,0.8992,"CPT1C; CPT1A; CPT1B; HADHA; ACADVL; DBI",0.9929
"3(S),8(R)-dihydroxy-(6E,10Z)-hexadecadienoate",3,0.086,1.013,-1.28,0.8997,"HADHA; HSD17B10; HADH",0.9929
"keratan sulfate I biosynthesis, precursor 19",8,0.271,2.432,-1.284,0.9004,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"3-Hydroxyoctadecadienoyl Coenzyme A",6,0.061,1.988,-1.286,0.9008,"CPT1C; CPT1A; CPT1B; HADHA; ACADVL; DBI",0.9929
"4,7,10,13-Hexadecatetraenoyl Coenzyme A",7,0.043,2.219,-1.287,0.901,"ACADVL; ACOX1; HADHA; HADHB; EHHADH; ACAA1; HSD17B4",0.9929
"lathosterol",4,0.276,1.347,-1.288,0.9011,"SC5D; CYP7A1; DHCR24; EBP",0.9929
"3-Hydroxyhexadecenoyl Coenzyme A",6,0.061,1.988,-1.289,0.9013,"CPT1C; CPT1A; CPT1B; HADHA; ACADVL; DBI",0.9929
"keratan sulfate I biosynthesis, precursor 28",8,0.271,2.432,-1.295,0.9023,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"(2R,6R,10R)-trimethyl-hendecanoyl-CoA",3,-0.04,1.049,-1.297,0.9026,"MYO5B; ACAA1; AMACR",0.9929
"3-hydroxynonanoyl-CoA",4,0.105,1.404,-1.298,0.9028,"HADHA; ECHS1; HSD17B10; HADH",0.9929
"prostaglandin E2",17,0.037,4.217,-1.299,0.9031,"PTGES2; PTGES3; PTGES; SCARF2; AKR1C3; CBR3; CBR1; DHRS4",0.9929
"3(S)-hydroxy-tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA",6,0.055,1.925,-1.301,0.9034,"EHHADH; ECI1; ECI2; HADHA; ACAA1; HSD17B4",0.9929
"trans,cis-octadeca-2,9-dienoyl-CoA",10,0.039,2.85,-1.301,0.9034,"ACADL; ACADM; ACADVL; ACAD9; HADHA; ACOX3; ACOX1; EHHADH",0.9929
"3-hydroxytetracosanoyl-CoA",12,0.135,3.263,-1.302,0.9036,"HSD17B12; HACD1; HACD3; HIGD2A; HACD2; HACD4; EHHADH; ECI1",0.9929
"3-hydroxytridecanoyl-CoA",3,0.086,1.013,-1.303,0.9037,"HADHA; HSD17B10; HADH",0.9929
"trans,cis-myristo-2,5-dienoyl-CoA",10,0.039,2.85,-1.304,0.9039,"ACADL; ACADM; ACADVL; ACAD9; HADHA; ACOX3; ACOX1; EHHADH",0.9929
"3-hydroxy-THA-CoA",6,0.055,1.925,-1.306,0.9042,"EHHADH; ECI1; ECI2; HADHA; ACAA1; HSD17B4",0.9929
"3-monoiodo-L-thyronine-4-O-sulfate",3,0.051,1.051,-1.307,0.9044,"STS; SULT1C2; SULT1B1",0.9929
"3'-S-hydroxy-pravastatin-tetranor-CoA",7,0.043,2.219,-1.308,0.9045,"HADHA; ACADVL; HADHB; EHHADH; ACOX1; ACAA1; HSD17B4",0.9929
"3(S),8(S)-dihydroxy-(6E,10Z)-hexadecadienoate",3,0.086,1.013,-1.309,0.9048,"HADHA; HSD17B10; HADH",0.9929
"3(S),6(R)-dihydroxy-tetradec-(8Z)-enoate",3,0.086,1.013,-1.31,0.905,"HADHA; HSD17B10; HADH",0.9929
"fuc-3-isoLM1",3,0,0.969,-1.31,0.9049,"FUT3; FUT6; FUT5",0.9929
"ecgonine-methyl ester",5,0.136,1.674,-1.311,0.905,"CES5A; CES3; CES1; CES2; AADAC",0.9929
"(4Z,7Z,10Z)-hexadecatrienoyl-CoA",11,-0.01,3.067,-1.312,0.9053,"ACAA2; HADHA; HADHB; ACADL; ACADM; ACADVL; ACAD9; MYO5B",0.9929
"(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA",10,0.039,2.85,-1.313,0.9053,"ACADL; ACADM; ACADVL; ACAD9; HADHA; ACOX3; ACOX1; EHHADH",0.9929
"16(S)-hydroxy-18-oxo-18-CoA-LTE4",6,0.055,1.925,-1.314,0.9055,"EHHADH; ECI1; ECI2; HADHA; ACAA1; HSD17B4",0.9929
"3-hydroxypentadecanoyl-CoA",3,0.086,1.013,-1.314,0.9056,"HADHA; HSD17B10; HADH",0.9929
"S-(9-deoxy-delta12-PGD2)-glutathione",18,0.061,4.241,-1.315,0.9058,"PTGES; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2",0.9929
"keratan sulfate I biosynthesis, precursor 10",8,0.271,2.432,-1.315,0.9058,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"3(S),6(S)-dihydroxy-tetradec-(8Z)-enoate",3,0.086,1.013,-1.317,0.9061,"HADHA; HSD17B10; HADH",0.9929
"nLc5Cer",7,0.112,2.246,-1.317,0.906,"B3GNT3; B3GNT2; B3GNT4; B4GALT3; B4GALT2; B4GALT1; B4GALT4",0.9929
"keratan sulfate I biosynthesis, precursor 13",8,0.271,2.432,-1.318,0.9062,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"3,6,9-Dodecatrienoyl Coenzyme A",9,0.076,2.723,-1.319,0.9064,"ECI1; EHHADH; ECI2; HADHA; ACADVL; HADHB; ACOX1; ACAA1",0.9929
"3-hydroxyheptanoyl-CoA",4,0.105,1.404,-1.319,0.9063,"HADHA; ECHS1; HSD17B10; HADH",0.9929
"keratan sulfate I biosynthesis, precursor 22",8,0.271,2.432,-1.319,0.9064,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"3(S)-hydroxy-hexacosenoyl-CoA",12,0.135,3.263,-1.321,0.9067,"HSD17B12; HACD1; HACD3; HIGD2A; HACD2; HACD4; EHHADH; ECI1",0.9929
"trans,cis-myristo-2,7-dienoyl-CoA",10,0.039,2.85,-1.321,0.9068,"ACADL; ACADM; ACADVL; ACAD9; HADHA; ACOX3; ACOX1; EHHADH",0.9929
"fucgalfucgalacglcgalgluside heparan sulfate",3,0,0.969,-1.323,0.9071,"FUT3; FUT6; FUT5",0.9929
"l2fn2m2masn",8,-0.03,2.421,-1.324,0.9073,"B4GALT3; B4GALT2; B4GALT1; B4GALT5; ST6GAL1; ST6GAL2; ST3GAL4; ST3GAL3",0.9929
"trans-2-cis,cis-5,8-tetradecatrienoyl-CoA",10,0.039,2.85,-1.326,0.9076,"ACOX3; ACOX1; ACADL; ACADM; ACADVL; ACAD9; HADHA; EHHADH",0.9929
"3-Hydroxy Trans5,8Tetradecadienoyl Coenzyme A",6,0.061,1.988,-1.327,0.9077,"DBI; CPT1C; CPT1A; CPT1B; HADHA; ACADVL",0.9929
"IV2Fuc,III4Fuc-Lc4Cer",3,0,0.969,-1.327,0.9077,"FUT3; FUT6; FUT5",0.9929
"3-Oxolaur-Cis-5-Enoyl Coenzyme A",4,0.052,1.333,-1.329,0.9081,"HSD17B10; HADHA; EHHADH; HSD17B4",0.9929
"keratan sulfate I biosynthesis, precursor 7",8,0.271,2.432,-1.329,0.9081,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"5,8,11-Tetradecatrienoyl Coenzyme A",7,0.043,2.219,-1.33,0.9083,"HADHA; ACADVL; HADHB; EHHADH; ACOX1; ACAA1; HSD17B4",0.9929
"keratan sulfate I biosynthesis, precursor 4",8,0.271,2.432,-1.33,0.9082,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"S-(9-deoxy-delta9,12-PGD2)-glutathione",18,0.061,4.241,-1.333,0.9087,"PTGES; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2",0.9929
"Suberyl Coenzyme A",11,-0.032,3.03,-1.334,0.9089,"CPT1C; CPT1A; CPT1B; EHHADH; ACOX1; ACAA1; HSD17B4; ACOT8",0.9929
"trans,cis-hexadeca-2,7-dienoyl-CoA",10,0.039,2.85,-1.334,0.9089,"ACADL; ACADM; ACADVL; ACAD9; HADHA; ACOX3; ACOX1; EHHADH",0.9929
"heparan sulfate, precursor 9",6,0.026,1.92,-1.336,0.9093,"EXT2; EXT1; EXTL3; NDST1; NDST2; NDST3",0.9929
"trans,cis-octadeca-2,11-dienoyl-CoA",10,0.039,2.85,-1.336,0.9091,"ACADL; ACADM; ACADVL; ACAD9; HADHA; ACOX3; ACOX1; EHHADH",0.9929
"3(R)-hydroxy-(4R,8R,12R)-trimethyl-tridecanoyl-CoA",6,0.055,1.925,-1.337,0.9094,"EHHADH; ECI1; ECI2; HADHA; ACAA1; HSD17B4",0.9929
"3(S)-hydroxy-4(R),8-dimethyl-nonanoyl-CoA",4,0.105,1.404,-1.338,0.9095,"HADHA; ECHS1; HSD17B10; HADH",0.9929
"3-hydroxypristanoyl-CoA",6,0.055,1.925,-1.339,0.9097,"EHHADH; ECI1; ECI2; HADHA; ACAA1; HSD17B4",0.9929
"(3Z,7Z,10Z)-hexadecatrienoyl-CoA",6,0.124,1.958,-1.343,0.9103,"DECR1; ECI2; ECI1; DECR2; EHHADH; HADHA",0.9929
"keratan sulfate II (core 4-linked), biosynthesis, precursor 8",8,0.271,2.432,-1.343,0.9104,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"prostaglandin A1",21,0.012,4.746,-1.345,0.9108,"SCARF2; PTGES; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1",0.9929
"3'-S-hydroxy-pravastatin-CoA",7,0.043,2.219,-1.347,0.911,"HADHA; ACADVL; HADHB; EHHADH; ACOX1; ACAA1; HSD17B4",0.9929
"fuc-Lc4Cer",3,0,0.969,-1.347,0.911,"FUT3; FUT6; FUT5",0.9929
"trans,cis,cis-2,7,10-hexadecatrienoyl-CoA",10,0.039,2.85,-1.347,0.911,"ACOX3; ACOX1; ACADL; ACADM; ACADVL; ACAD9; HADHA; EHHADH",0.9929
"keratan sulfate I biosynthesis, precursor 16",8,0.271,2.432,-1.348,0.9112,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"keratan sulfate I biosynthesis, precursor 25",8,0.271,2.432,-1.349,0.9113,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"2,6,9-Dodecatrienoyl Coenzyme A",8,0.025,2.404,-1.35,0.9114,"ACAA2; ECHS1; HADH; EHHADH; ACAA1; HSD17B4; ECI1; ECI2",0.9929
"3-hydroxyheptadecanoyl-CoA",3,0.086,1.013,-1.35,0.9114,"HADHA; HSD17B10; HADH",0.9929
"5,8,11,14-Eicosatetraenoyl Coenzyme A",7,0.043,2.219,-1.356,0.9125,"HADHA; ACADVL; HADHB; ACOX1; EHHADH; ACAA1; HSD17B4",0.9929
"L-carnitine",18,0.155,4.321,-1.359,0.913,"CPT1C; CPT1A; CPT1B; CPT2; SLC22A4; CRAT; CROT; ESCO2",0.9929
"fucacgalfucgalacglcgalgluside heparan sulfate",3,0,0.969,-1.359,0.913,"FUT3; FUT6; FUT5",0.9929
"keratan sulfate II (core 4-linked), biosynthesis, precursor 5",8,0.271,2.432,-1.366,0.914,"B3GNT3; B3GNT2; B4GAT1; B3GNT7; B3GNT8; B3GNT4; CHST4; CHST2",0.9929
"2,7-Decadienoyl Coenzyme A",8,0.025,2.404,-1.368,0.9143,"ACAA2; ECHS1; HADH; EHHADH; ACAA1; HSD17B4; ECI1; ECI2",0.9929
"3-ketopristanoyl-CoA",4,-0.009,1.24,-1.37,0.9147,"EHHADH; ACAA1; HSD17B4; MYO5B",0.9929
"18(R)-hydroxy-20-oxo-20-CoA-LTE4",6,0.055,1.925,-1.372,0.9149,"EHHADH; ECI1; ECI2; HADHA; ACAA1; HSD17B4",0.9929
"N-substituted aminoacyl tRNA",3,0.045,0.897,-1.375,0.9154,"PTRH1; MRPL58; PTRH2",0.9929
"cis,cis-myristo-5,8-dienoyl-CoA",11,-0.01,3.067,-1.376,0.9156,"ACOX3; ACOX1; ACAA2; HADHA; HADHB; ACADL; ACADM; ACADVL",0.9929
"cis,cis-palmito-7,10-dienoyl-CoA",11,-0.01,3.067,-1.378,0.9159,"ACOX3; ACOX1; ACAA2; HADHA; HADHB; ACADL; ACADM; ACADVL",0.9929
